Species_Bologna,Closest_Species,Similarity_Score
Salix babylonica,Salix babylonica ,100
Quercus palustris,Quercus cerris ,71
Quercus petraea,Quercus petraea ,100
Parrottia persica,Parrotia persica ,97
Acer platanoides 'Crimson King',Acer platanoides 'Crimson King' ,100
Cornus sanguinea,Cornus sanguinea ,100
Cotinus coggygria,Cotinus coggygria ,100
Pyrus limonia,Pyrus communis ,67
Cercis chinensis,Celtis occidentalis ,63
Gymnocladus dioicus,Gymnocladus dioicus ,100
"Prunus dulcis, amygdalus",Prunus dulcis ,72
Prunus persica,Prunus persica ,100
Metasequoia sspp,Magnolia spec. ,55
Populus x euroamericana,Populus x canadensis ,65
Prunus subhirtella,Prunus subhirtella 'Accolade' ,80
Prunus cerasus,Prunus cerasus ,100
Cedrus deodara 'Pendula',Cedrus deodara 'Pendula' ,100
Magnolia kobus,Magnolia kobus ,100
Prunus spinosa,Prunus spinosa ,100
Cedrus sp,Cedrus spec. ,90
Malus floribunda,Malus floribunda ,100
Abies alba,Abies alba ,100
Cupressocyparis leylandii,Cupressocyparis leylandii ,100
Populus hybrida,Populus alba ,74
Platanus hybrida,Platanus orientalis ,69
Fagus sylvatica,Fagus sylvatica ,100
Malus sspp,Malus spec. ,80
Ilex aquifolium,Ilex aquifolium ,100
Acer pseudoplatanus 'Atropurpureum',Acer pseudoplatanus 'Atropurpureum' ,100
Sorbus aucuparia,Sorbus aucuparia ,100
Sequoia sempervirens,Buxus sempervirens ,63
Hibiscus syriacus,Hibiscus syriacus ,100
Magnolia x soulangiana,Magnolia x soulangiana ,100
Zelkova sspp,Zelkova spec. ,83
Fraxinus oxycarpa Raywood,Fraxinus angustifolia 'Raywood' ,59
Malus starking,Malus toringo ,81
Populus canadiensis,Populus x canadensis ,92
Malus 'Golden Hornet',Malus 'Golden Hornet' ,100
Abies pinsapo,Abies pinsapo ,100
Robinia bessoniana,Robinia pseudoacacia 'Bessioniana' ,72
Paulownia imperialis,Cryptomeria japonica ,55
Acer ginnala,Acer glabrum ,67
Prunus avium 'Plena',Prunus avium 'Plena' ,100
Prunus armeniaca 'x Susino Biricoccolo',Prunus armeniaca ,60
Tilia americana,Tilia americana ,100
Acer negundo 'Argenteo-variegatum',Acer negundo 'Variegatum' ,84
Malus communis,Pyrus communis ,79
Acer davidii,Acer davidii ,100
Prunus fruticosa 'Globosa',Prunus fruticosa 'Globosa‘ ,100
Prunus armeniaca 'Tyrintos',Prunus armeniaca ,78
Parrotia persica 'Vanessa',Parrotia persica 'Vanessa' ,100
Quercus hispanica 'Kewensis',Quercus x kewensis ,73
Pyrus Conference,Pyrus communis ,60
Malus sylvestris,Malus sylvestris ,100
Cornus mas,Cornus mas ,100
Zelkova crenata,Zelkova serrata ,80
Morus platanifolia,Morus nigra ,62
Photinia serrulata,Prunus serrulata 'Ukon' ,62
Platanus platanor «Vallis clausa»,Platanus x acerifolia 'Alphens Globe' ,52
Cedrus atlantica 'Glauca Pendula',Cedrus atlantica 'Glauca Pendula' ,100
Ulmus montana,Ulmus 'Rebona' ,72
Prunus domestica subsp. insititia,Prunus domestica subsp. insititia ,100
Juniperus virginiana 'Skyroket',Juniperus virginiana ,82
Betula pendula,Betula pendula ,100
Populus sp.,Populus spec. ,91
Salix x chrysocoma,Salix caprea ,60
Thuia plicata,Thuja plicata ,92
Sorbus intermedia,Sorbus intermedia ,100
Fraxinus excelsior 'Diversifolia',Fraxinus excelsior 'Diversifolia' ,100
Cotinus coggygria 'Royal Purple',Cotinus coggygria 'Royal Purple' ,100
Amelanchier sp.,Amelanchier spec. ,93
Populus alba fastigiata,Morus alba 'Fastigiata' ,86
Buxus sempervirens,Buxus sempervirens ,100
Wisteria sinensis,Toona sinensis ,71
Chamaecyparis sspp,Chamaecyparis spec. ,89
Carpinus betulus 'Purpurea',Carpinus betulus ,78
Betula pendula 'Fastigiata',Betula pendula 'Fastigiata' ,100
Acer opalus,Acer opalus ,100
Prunus virginiana,Juniperus virginiana ,81
Eleagnus angustifolia,Elaeagnus angustifolia ,98
Robinia pseudoacacia Hispida,Robinia pseudoacacia 'Frisia' ,91
Pinus strobus,Pinus strobus ,100
Pinus pinaster,Pyrus pyraster ,71
Acer saccharum,Acer saccharum ,100
Sorbus aria,Sorbus aria ,100
Rhamnus alaternus,Rhamnus frangula ,67
Photinia x fraseri 'Red Robin',Photinia x fraseri ,78
Salix eleagnos,Salix alba ,67
Taxus media “Hicksii”,Taxus baccata ,50
Salix fragilis,Salix fragilis ,100
Acer negundo 'Aureo-variegatum',Acer negundo 'Variegatum' ,88
Morus alba 'Pendula',Morus alba 'Pendula' ,100
Acer rubrum,Acer rubrum ,100
Pyrus Abate,Pyrus pyraster ,72
Pyrus Kaiser,Pyrus pyraster ,77
Pyrus Angelica,Prunus armeniaca ,67
Prunus armeniaca 'Portici',Prunus armeniaca ,80
Liriodendron tulipifera pyramidalis,Liriodendron tulipifera ,79
Cephalotaxus fortunei,Cephalotaxus spec. ,74
Pinus mugo,Pinus nigra ,67
Malus Agostano,Malus domestica ,69
Cladratis lutea,Cladrastis lutea ,97
Malus communis 'Calvilla bianca d'Inverno',Pyrus communis 'Beech Hill' ,49
Syringa vulgaris,Tilia x vulgaris ,69
Acer japonicum,Acer cappadocicum ,77
Rhus typhina,Rhus typhina ,100
Musa paradisiaca (banano),Morus alba 'Pyramidalis' ,58
Amelanchier lamarckii,Amelanchier lamarckii ,100
Castanea sativa,Castanea sativa ,100
Crataegus x lavallei,Crataegus x lavallei ,100
Rhamnus cathartica,Rhamnus cathartica ,100
Salix sp.,Salix spec. ,89
Picea pungens,Picea pungens ,100
Cupressus macrocarpa 'Goldcrest',Cupressus arizonica 'Glauca' ,54
Quercus turneri pseudoturneri,Quercus x turneri 'Pseudoturneri' ,97
Prunus serotina,Prunus serotina ,100
Sorbus x thuringiaca,Sorbus x thuringiaca 'Fastigiata' ,78
Alnus incana,Alnus incana ,100
Crataegus azarolus,Alnus cordata ,65
Quercus crenata,Quercus petraea ,73
Prunus sargentii,Prunus sargentii ,100
Calycanthus praecox,Ailanthus spec. ,73
Quercus frainetto,Quercus frainetto ,100
Populus deltoides,Populus deltoides 'Purple Tower' ,72
Cupressus lusitanica,Cedrus libani ,61
Fagus sylvatica 'Purpurea',Fagus sylvatica 'Purpurea Pendula' ,86
Prunus armeniaca 'Bella d'Imola',Prunus armeniaca ,70
Acer sp,Acer spec. ,88
Carya illinoensis,Carya illinoinensis ,94
Quercus castaneifolia,Quercus coccinea ,65
Salix viminalis,Salix x sepulcralis ,59
Malus Granny Smith,Malus hybrida 'Royalty' ,51
